鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
板橋區,房地(土地+建物)+車位,新北市板橋區篤行路一段1~30號,16.23,住,,,1071026,土地4建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960404,130.41,3,2,2,有,有,11500000,88183,坡道平面,23.1,0,陽台外推,RPOQMLSLJINFFAF38CA
土城區,房地(土地+建物),新北市土城區國際路158巷31~60號,77.54,,鄉村區,乙種建築用地,1070831,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690915,121.8,3,2,2,有,有,9300000,76355,,0.0,0,含增建或未登記建物。;,RPUNMLRLJINFFAF58CA
板橋區,房地(土地+建物)+車位,新北市板橋區雙十路二段41巷1~30號,8.27,住,,,1071005,土地1建物1車位1,二十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0891012,131.79,3,2,2,有,有,20000000,151757,坡道機械,13.85,0,,RPQSMLRLJINFFAF68CA
板橋區,房地(土地+建物)+車位,新北市板橋區互助街1~30號,15.84,住,,,1071004,土地1建物1車位1,十四層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070606,176.14999999999998,3,2,2,有,有,27210000,173654,坡道平面,30.4,1900000,,RPPNNLRLJINFFAF18CA
板橋區,房地(土地+建物)+車位,新北市板橋區互助街1~30號,13.7,住,,,1070902,土地1建物1車位1,二十一層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070606,156.26,3,2,1,有,有,25200000,182743,坡道平面,30.4,2200000,,RPQNNLRLJINFFAF28CA
板橋區,房地(土地+建物)+車位,新北市板橋區互助街1~30號,10.47,住,,,1071020,土地1建物1車位1,十層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070606,126.02000000000001,2,2,1,有,有,17200000,161054,坡道平面,30.4,1800000,,RPRNNLRLJINFFAF38CA
土城區,房地(土地+建物)+車位,新北市土城區中正路67巷31~60號,19.4,住,,,1070822,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041228,146.97,3,2,2,有,有,15800000,107505,升降平面,34.32,0,,RPQQMLMLJINFFAF97CA
板橋區,房地(土地+建物)+車位,新北市板橋區華東街271~300號,13.8,住,,,1071026,土地2建物1車位1,九層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,159.07,3,2,2,有,無,24000000,160426,坡道平面,22.87,2150000,本案尚未成立管理委員會.,RPUPMLMLJINFFAF28CA
土城區,房地(土地+建物),新北市土城區青雲路451巷2弄1~30號,30.19,住,,,1071006,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700501,82.67,3,2,1,有,無,6200000,74997,,0.0,0,,RPOPMLNLJINFFAF77CA
土城區,房地(土地+建物)+車位,新北市土城區中州路30巷31~60號,37.78,住,,,1071020,土地5建物1車位1,十層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020503,262.44,4,2,3,有,有,16100000,61347,坡道平面,34.53,0,含增建或未登記建物。;,RPVNMLQLJINFFAF58CA
板橋區,房地(土地+建物)+車位,新北市板橋區中正路301~330號,20.99,住,,,1071003,土地1建物1車位1,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870121,158.54,3,2,2,有,有,16500000,104075,坡道平面,39.88,0,含增建或未登記建物。;,RPWNMLQLJINFFAF68CA
板橋區,房地(土地+建物),新北市板橋區陽明街61~90號,32.08,住,,,1071019,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,112.82,3,2,2,有,無,12500000,110796,,0.0,0,含增建或未登記建物。;,RPXNMLQLJINFFAF78CA
板橋區,房地(土地+建物)+車位,新北市板橋區大觀路一段38巷1~30號,21.91,住,,,1031024,土地1建物1車位1,五層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070702,179.28,3,2,2,有,有,15420000,99360,坡道平面,38.68,1450000,,RPPOMLQLJINFFAF08CA
板橋區,房地(土地+建物)+車位,新北市板橋區大觀路一段38巷1~30號,21.37,住,,,1031027,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070702,175.53,3,2,2,有,有,17490000,116478,坡道平面,38.68,1550000,,RPSOMLQLJINFFAF38CA
板橋區,房地(土地+建物)+車位,新北市板橋區大觀路一段38巷1~30號,26.05,住,,,1031022,土地1建物1車位1,六層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070702,205.61,4,2,2,有,有,19230000,105014,坡道平面,38.68,1700000,,RPTOMLQLJINFFAF48CA
板橋區,房地(土地+建物),新北市板橋區金門街372巷31~60號,18.08,住,,,1071102,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871106,99.91,3,2,2,有,有,6650000,66560,,0.0,0,,RPPOMLRLJINFFAF18CA
板橋區,房地(土地+建物),新北市板橋區華東街301~330號,12.7,住,,,1071022,土地2建物1車位0,十九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980119,131.01999999999998,3,2,2,有,有,15680000,119676,,0.0,0,含增建或未登記建物。;,RPSNMLQLJINFFAF28CA
